,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Disclaimer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"I.   Responses of households on price and inflation may be based on their own consumption baskets.
II.  Households’ assessments are subjective, guided by their own understanding of the subject, and may lack internal consistency.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IESH :  Unit Level Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sr. No.,Round No,Period,,City Name,PIN Code,,Gender Of Respondent,Age Group,Category of Respondent,Expectations on prices in next 3 months - General,,Expectations on prices in next 3 months - Food products,Expectations on prices in next 3 months - Non food products,Expectations on prices in next 3 months - Household durables,Expectations on prices in next 3 months - Housing,Expectations on prices in next 3 months - Services,Expectations on prices in next 1 year - General,Expectations on prices in next 1 year - Food products,Expectations on prices in next 1 year - Non food products,Expectations on prices in next 1 year - Household durables,Expectations on prices in next 1 year - Housing,Expectations on prices in next 1 year - Services,View on Current Inflation Rate,View on Current Inflation Rate - actual rate for above 16%,View on 3 Months ahead Inflation Rate,View on 3 Months ahead Inflation Rate - actual rate for above 16%,View on 1 Year ahead Inflation Rate,View on 1 Year ahead Inflation Rate - actual rate for above 16%
,1,78,Jan-2025,,Ahmedabad,300008,,Male,30 to 35 years,Daily workers,Price increase more than current rate,,Price increase similar to current rate,No change in prices,No change in prices,Price increase more than current rate,Price increase similar to current rate,Price increase more than current rate,Price increase similar to current rate,Price increase similar to current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,8-9,,9-10,,10-11,
,2,78,Jan-2025,,Ahmedabad,300061,,Male,35 to 40 years,Other employees,Price increase more than current rate,,Price increase more than current rate,No change in prices,Price increase similar to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,4-5,,5-6,,5-6,
,3,78,Jan-2025,,Ahmedabad,380001,,Female,Up to 25 years,Homemaker,Price increase more than current rate,,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase less than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,5-6,,8-9,,7-8,
,4,78,Jan-2025,,Ahmedabad,380001,,Male,50 to 55 years,Daily workers,Price increase more than current rate,,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,10-11,,15-16,,15-16,
,5,78,Jan-2025,,Ahmedabad,380001,,Female,Up to 25 years,Other category,Price increase more than current rate,,Price increase more than current rate,Price increase less than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,15-16,,>=16,16,>=16,16
,6,78,Jan-2025,,Ahmedabad,380001,,Male,55 to 60 years,Daily workers,Price increase more than current rate,,Price increase more than current rate,Decline in prices,Decline in prices,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,No change in prices,Price increase more than current rate,Price increase more than current rate,>=16,25,>=16,35,>=16,35
